Date,Sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2020-03-18 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-18 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-19 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-20 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-23 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-24 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Industrials,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Information Technology,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Materials,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Real Estate,,,,,,,,,,,
2020-03-25 00:00:00-04:00,Utilities,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Communication Services,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Consumer Discretionary,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Consumer Staples,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Energy,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Financials,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Health Care,,,,,,,,,,,
2020-03-26 00:00:00-04:00,Industrials,,,,,,,,,,,
